Komentar,comment_clean,comment_preprocessing,comment_DLD,label
teman-temanku abak abah pengen kesana 🥺 bentar ku tag,teman temanku abak abah pengen kesana bentar ku tag,"['teman', 'teman', 'abak', 'tunggu', 'tag']","['teman', 'teman', 'abam', 'tunggu', 'tag']",Positif
Akkkhhhhh apaan si IKN NUSANTARA kok seindah ini 😍,akkkhhhhh apaan si ikn nusantara kok seindah ini,"['ikn', 'nusantara', 'indah']","['ikn', 'nusantara', 'indah']",Positif
rakyat biasa bisa gsii masuk ikn🙂,rakyat biasa bisa gsii masuk ikn,"['rakyat', 'masuk', 'ikn']","['rakyat', 'masuk', 'ikn']",Positif
"Ikn vs gbk dulu waktu pertama kali dibangun ,banyak kritikan tapi hasilnya dinikmati oleh semua pihak...",ikn vs gbk dulu waktu pertama kali dibangun banyak kritikan tapi hasilnya dinikmati oleh semua pihak,"['ikn', 'gbk', 'kali', 'bangun', 'kritik', 'hasil', 'nikmat']","['ikn', 'gbk', 'kali', 'bangun', 'kritik', 'hasil', 'nikmat']",Positif
merinding pengen ikut upacara di IKN 😭,merinding pengen ikut upacara di ikn,"['merinding', 'upacara', 'ikn']","['merinding', 'upacara', 'ikn']",Positif
pdhl ku di jawa tapi kok ku bangga punya IKN yaa,pdhl ku di jawa tapi kok ku bangga punya ikn yaa,"['jawa', 'bangga', 'ikn']","['jawa', 'bangga', 'ikn']",Positif
TIDAK KH KALIAN TAU DGN BERDIRINYA IBU KOTA NUSANTARA BERARTI NEGARA KITA JAUH LBIH MAJU DARI SEBLUMNYA...MARI LH KITA BERSATU MENDUKUNG PERJUANGAN BPA PRESIDEN KITA DEMI KEMAJUAN BANGSA DN NEGRA. 🙏❤,tidak kh kalian tau dgn berdirinya ibu kota nusantara berarti negara kita jauh lbih maju dari seblumnya mari lh kita bersatu mendukung perjuangan bpa presiden kita demi kemajuan bangsa dn negra,"['tau', 'diri', 'kota', 'nusantara', 'negara', 'lebih', 'maju', 'mari', 'satu', 'dukung', 'juang', 'bpa', 'presiden', 'maju', 'bangsa', 'negra']","['tahu', 'diri', 'kota', 'nusantara', 'negara', 'lebih', 'maju', 'mari', 'satu', 'dukung', 'jung', 'bpk', 'presiden', 'maju', 'bangsa', 'negara']",Positif
iKN secepat ini pembangunannya.. kaget gue,ikn secepat ini pembangunannya kaget gue,"['ikn', 'cepat', 'bangun', 'kaget']","['ikn', 'cepat', 'bangun', 'kaget']",Positif
kalo ge punya duit ge beli tanah skitran IKN biar klo mau liburan dekat. soalnya IKN akan sprti dubai,kalo ge punya duit ge beli tanah skitran ikn biar klo mau liburan dekat soalnya ikn akan sprti dubai,"['uang', 'beli', 'tanah', 'ikn', 'libur', 'ikn', 'dubai']","['uang', 'beli', 'tanah', 'ikn', 'libur', 'ikn', 'dubai']",Positif
kepala garuda nggak ada,kepala garuda nggak ada,"['kepala', 'garuda']","['kepala', 'garuda']",Negatif
Agustusan pertama dan terahir sih🥺,agustusan pertama dan terahir sih,"['agustus', 'akhir']","['agustus', 'akhir']",Negatif
"rakyat biasa cukup lihat dr vidio,kelak bandara utk orang penting namanya Bandara VVIP, rakyat g tahu bisa landing disitu gak? rakyat jelata blm disentuh nt bs lihat IKN apa gak????",rakyat biasa cukup lihat dr vidio kelak bandara utk orang penting namanya bandara vvip rakyat g tahu bisa landing disitu gak rakyat jelata blm disentuh nt bs lihat ikn apa gak,"['rakyat', 'lihat', 'video', 'kelak', 'bandara', 'orang', 'nama', 'bandara', 'vvip', 'rakyat', 'tahun', 'landing', 'situ', 'rakyat', 'jelata', 'sentuh', 'nt', 'lihat', 'ikn']","['rakyat', 'lihat', 'video', 'kelak', 'bandara', 'orang', 'nama', 'bandara', 'vvip', 'rakyat', 'tahun', 'landing', 'situ', 'rakyat', 'jelata', 'sentuh', 'ntt', 'lihat', 'ikn']",Negatif
kirain RM Padang ✌✌😁😁🙏,kirain rm padang,"['kira', 'padang']","['kira', 'padang']",Negatif
istana KELELAWAR keren,istana kelelawar keren,"['istana', 'kelelawar', 'keren']","['istana', 'kelelahan', 'keren']",Negatif
Hanya orang orang tertentu saja yg bisa menikmati keindahan IKN. Orang yg berkekurangan belum pasti bisa sampai sana dan menikmati,hanya orang orang tertentu saja yg bisa menikmati keindahan ikn orang yg berkekurangan belum pasti bisa sampai sana dan menikmati,"['orang', 'orang', 'nikmat', 'indah', 'ikn', 'orang', 'rang', 'nikmat']","['orang', 'orang', 'nikmat', 'indah', 'ikn', 'orang', 'rand', 'nikmat']",Negatif
"Alhamdulillah pak Jokowi
ternyata sempat juga upacara agustusan di IKN
untuk pertama dan terakhir iya menjadi presiden Republik Indonesia
terimakasih untuk sang maestro 👍👍",alhamdulillah pak jokowi ternyata sempat juga upacara agustusan di ikn untuk pertama dan terakhir iya menjadi presiden republik indonesia terimakasih untuk sang maestro,"['alhamdulilah', 'jokowi', 'nyata', 'upacara', 'agustus', 'ikn', 'presiden', 'republik', 'indonesia', 'terimakasih', 'maestro']","['alhamdulillah', 'jokowi', 'nyata', 'upacara', 'agustus', 'ikn', 'presiden', 'republik', 'indonesia', 'terindikasi', 'maestro']",Positif
terus manfaatny ap gedung ini?mohon pencerahan...😅😅😅,terus manfaatny ap gedung ini mohon pencerahan,"['manfaat', 'gedung', 'mohon', 'cerah']","['manfaat', 'gedung', 'mohon', 'cerah']",Negatif
